event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-11-19 04:37:47 UTC,2388440981134692755,1515966223523303314,,9.26,1515915625498312248
2020-11-19 04:37:47 UTC,2388440981134692755,1515966223523303310,,8.10,1515915625498312248
2020-11-19 04:37:47 UTC,2388440981134692755,1515966223523303306,,4.63,1515915625498312248
2020-11-19 12:03:46 UTC,2388440981134692756,1515966223523303310,,8.10,1515915625514803496
2020-11-19 12:03:46 UTC,2388440981134692756,1515966223522710798,2268105428166508982,electronics.smartphone,samsung,138.87,1515915625514803496
2020-11-19 12:55:38 UTC,2388440981134692757,2388434452474181543,2268105407220155366,computers.notebook,asus,509.24,1515915625514803497
2020-11-19 09:49:24 UTC,2388440981134692758,1515966223509260344,2268105406549066706,computers.peripherals.mouse,logitech,11.55,1515915625514803498
2020-11-19 10:15:48 UTC,2388440981134692759,1515966223509261668,2268105442242593506,,akvafor,4.14,1515915625514803499
2020-11-19 06:22:50 UTC,2388440981134692760,2273948186668171713,2268105441009468104,appliances.kitchen.meat_grinder,moulinex,266.18,1515915625512117428
2020-11-19 07:36:32 UTC,2388440981134692761,1515966223509130401,2268105392925967052,appliances.environment.air_heater,ava,43.96,1515915625514803500
2020-11-19 05:54:53 UTC,2388440981134692762,2273948217739575792,2268105408293897214,stationery.cartrige,epson,13.40,1515915625514803501
2020-11-19 05:54:53 UTC,2388440981134692762,1515966223509714638,2268105408293897214,stationery.cartrige,epson,13.40,1515915625514803501
2020-11-19 12:57:27 UTC,2388440981134692763,2388434452475881168,2268105428166508982,electronics.smartphone,oppo,208.31,1515915625514803502
2020-11-19 09:46:06 UTC,2388440981134692764,1515966223509259843,2268105426648170900,electronics.tablet,huawei,208.31,1515915625498247896
2020-11-19 12:01:12 UTC,2388440981134692765,2273948304561668843,2268105392741417672,appliances.environment.water_heater,thermex,92.57,1515915625514803503
2020-11-19 08:15:57 UTC,2388440981134692766,2388434452475636226,2268105442536194792,furniture.living_room.sofa,berghoff,138.87,1515915625514803504
2020-11-19 08:15:57 UTC,2388440981134692766,1515966223509299728,2268105635381903388,,technodom,6.92,1515915625514803504
2020-11-19 12:16:36 UTC,2388440981134692767,1515966223523303308,,29.63,1515915625511995471
2020-11-19 12:16:36 UTC,2388440981134692767,1515966223509258211,2268105411422847042,computers.components.hdd,none,75.21,1515915625511995471
2020-11-19 12:16:36 UTC,2388440981134692767,2273948316532212462,2268105428166508982,electronics.smartphone,huawei,254.61,1515915625511995471
2020-11-19 09:25:57 UTC,2388440981134692768,1515966223509131528,2268105403822769052,,braun,53.22,1515915625514803505
2020-11-19 11:38:29 UTC,2388440981134692769,1515966223509104944,2268105428166508982,electronics.smartphone,samsung,104.14,1515915625514803506
2020-11-19 10:29:20 UTC,2388440981134692770,1515966223523303437,2268105444457186064,,toro,2.99,1515915625512238117
2020-11-19 10:29:20 UTC,2388440981134692770,1515966223509122666,2268105430162997728,electronics.audio.headphone,samsung,8.08,1515915625512238117
2020-11-19 10:29:20 UTC,2388440981134692770,1515966223509127674,2268105442242593506,,akvafor,11.55,1515915625512238117
